Time, MemTotal(B), MemAlloc(B), MaxEPAlloc(B), NProcs, CpuLoad, CpuUtil(%)
20130529_221551, 3207233536, 2184069120, 186308, 0, 0, 0
20130529_221601, 3207233536, 2184069120, 186308, 0, 0, 0
20130529_221612, 3207233536, 2184069120, 186308, 0, 0, 0
20130529_221622, 3207233536, 2184069120, 186308, 0, 0, 0
20130529_221633, 3207233536, 2184069120, 186308, 0, 0, 0
20130529_221643, 3207233536, 2205114368, 142492, 0, 0, 0
20130529_221653, 3207233536, 2205114368, 142492, 0, 0, 0
20130529_221704, 3207233536, 2205114368, 142492, 0, 0, 0
20130529_221714, 3207233536, 2205114368, 142492, 0, 0, 0
20130529_221724, 3207233536, 2205114368, 142492, 0, 0, 0
20130529_221735, 3207233536, 2205114368, 142492, 0, 0, 0
20130529_221745, 3207233536, 2212974592, 142492, 0, 0, 0
20130529_221755, 3207233536, 2212974592, 142492, 0, 0, 0
20130529_221806, 3207233536, 2212974592, 142492, 0, 0, 0
20130529_221816, 3207233536, 2212974592, 142492, 0, 0, 0
20130529_221826, 3207233536, 2212974592, 142492, 0, 0, 0
20130529_221837, 3207233536, 2212974592, 142492, 0, 0, 0
20130529_221847, 3207233536, 2217201664, 142492, 0, 0, 0
20130529_221858, 3207233536, 2217201664, 142492, 0, 0, 0
20130529_221909, 3207233536, 2217201664, 142492, 0, 0, 0
20130529_221919, 3207233536, 2217201664, 142492, 0, 0, 0
20130529_221930, 3207233536, 2217201664, 142492, 0, 0, 0
20130529_221940, 3207233536, 2208645120, 142492, 0, 0, 0
20130529_221950, 3207233536, 2208645120, 142492, 0, 0, 0
20130529_222001, 3207233536, 2208645120, 142492, 0, 0, 0
20130529_222011, 3207233536, 2208645120, 142492, 0, 0, 0
20130529_222022, 3207233536, 2208645120, 142492, 0, 0, 0
20130529_222032, 3207233536, 2208645120, 142492, 0, 0, 0
20130529_222043, 3207233536, 2245001216, 142492, 0, 0, 0
20130529_222053, 3207233536, 2245001216, 142492, 0, 0, 0
20130529_222103, 3207233536, 2245001216, 142492, 0, 0, 0
20130529_222113, 3207233536, 2245001216, 142492, 0, 0, 0
20130529_222124, 3207233536, 2245001216, 142492, 0, 0, 0
20130529_222135, 3207233536, 2245001216, 142492, 0, 0, 0
20130529_222145, 3207233536, 2243297280, 142492, 0, 0, 0
20130529_222156, 3207233536, 2243297280, 142492, 0, 0, 0
20130529_222206, 3207233536, 2243297280, 142492, 0, 0, 0
20130529_222216, 3207233536, 2243297280, 142492, 0, 0, 0
20130529_222227, 3207233536, 2243297280, 142492, 0, 0, 0
20130529_222238, 3207233536, 2243297280, 142492, 0, 0, 0
20130529_222248, 3207233536, 2238332928, 142492, 0, 0, 0
20130529_222258, 3207233536, 2238332928, 142492, 0, 0, 0
20130529_222309, 3207233536, 2238332928, 142492, 0, 0, 0
20130529_222319, 3207233536, 2238332928, 142492, 0, 0, 0
20130529_222329, 3207233536, 2238332928, 142492, 0, 0, 0
20130529_222340, 3207233536, 2245832704, 142492, 0, 0, 0
20130529_222350, 3207233536, 2245832704, 142492, 0, 0, 0
